"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-16","0.00","0.0","0.0",,"81","57",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-17","0.01","0.0","0.0",,"76","57",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-18","0.00","0.0","0.0",,"73","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-19","0.00","0.0","0.0",,"76","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-20","0.00","0.0","0.0",,"74","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-21","0.00","0.0","0.0",,"78","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-22","0.00","0.0","0.0",,"81","53",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-23","0.00","0.0","0.0",,"85","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-24","0.00","0.0","0.0",,"85","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-25","0.00","0.0","0.0",,"87","60",,
